Country,Year,Percentage,Continent
Ukraine,2012,24.2,Europe
Ukraine,2013,24.6,Europe
Ukraine,2014,25.1,Europe
United Arab Emirates,2010,22.5,Asia
United Arab Emirates,2011,23.4,Asia
United Arab Emirates,2012,24.5,Asia
United Arab Emirates,2013,25.8,Asia
United Arab Emirates,2014,27.2,Asia
United Kingdom,2010,25.7,Europe
United Kingdom,2011,26.3,Europe
United Kingdom,2012,26.9,Europe
United Kingdom,2013,27.5,Europe
United Kingdom,2014,28.2,Europe
United States of America,2010,33.4,North America
United States of America,2011,34,North America
United States of America,2012,34.7,North America
United States of America,2013,35.4,North America
United States of America,2014,36,North America
Uruguay,2010,25.9,South America
Uruguay,2011,26.4,South America
Uruguay,2012,26.8,South America
Uruguay,2013,27.3,South America
Uruguay,2014,27.8,South America
Uzbekistan,2010,11.9,Asia
Uzbekistan,2011,12.4,Asia
Uzbekistan,2012,12.9,Asia
Uzbekistan,2013,13.5,Asia
Uzbekistan,2014,14.1,Asia
Vanuatu,2010,19.4,Oceania
Vanuatu,2011,20,Oceania
Vanuatu,2012,20.7,Oceania
Vanuatu,2013,21.4,Oceania
Vanuatu,2014,22.1,Oceania
Venezuela,2010,22.4,South America
Venezuela,2011,22.9,South America
Venezuela,2012,23.3,South America
Venezuela,2013,23.8,South America
Venezuela,2014,24.3,South America
Vietnam,2010,1.3,Asia
Vietnam,2011,1.4,Asia
Vietnam,2012,1.5,Asia
Vietnam,2013,1.6,Asia
Vietnam,2014,1.8,Asia
Yemen,2010,10.8,Asia
Yemen,2011,11.3,Asia
Yemen,2012,11.8,Asia
Yemen,2013,12.3,Asia
Yemen,2014,12.9,Asia
Zambia,2010,4.9,Africa
Zambia,2011,5.2,Africa
Zambia,2012,5.4,Africa
Zambia,2013,5.7,Africa
Zambia,2014,6,Africa
Zimbabwe,2010,10.6,Africa
Zimbabwe,2011,10.8,Africa
Zimbabwe,2012,11.1,Africa
Zimbabwe,2013,11.3,Africa
Zimbabwe,2014,11.6,Africa
