Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Overweight or Obese (NCDRisC (2017)),Population (historical estimates),Continent
Romania,2014,3417,63.9,19995836,Europe
Russia,2010,3302,56.7,143242592,Europe
Russia,2011,3331,57.6,143364544,Europe
Russia,2012,3366,58.5,143629360,Europe
Russia,2013,3361,59.4,143956864,Europe
Russia,2014,3365,60.3,144285072,Europe
Rwanda,2010,2198,9.1,10309032,Africa
Rwanda,2011,2213,9.4,10576932,Africa
Rwanda,2012,2270,9.7,10840331,Africa
Rwanda,2013,2228,10,11101352,Africa
Rwanda,2014,2214,10.3,11368450,Africa
Saint Kitts and Nevis,2010,2487,49.2,47429,North America
Saint Kitts and Nevis,2011,2470,49.9,47605,North America
Saint Kitts and Nevis,2012,2477,50.6,47754,North America
Saint Kitts and Nevis,2013,2492,51.4,47793,North America
Saint Kitts and Nevis,2014,2511,52.1,47816,North America
Saint Lucia,2010,2596,44.7,170950,North America
Saint Lucia,2011,2583,45.5,172157,North America
Saint Lucia,2012,2579,46.3,173139,North America
Saint Lucia,2013,2595,47.2,173992,North America
Saint Lucia,2014,2618,48.1,174814,North America
Saint Vincent and the Grenadines,2010,2907,45.6,109324,North America
Saint Vincent and the Grenadines,2011,2941,46.6,108722,North America
Saint Vincent and the Grenadines,2012,2929,47.5,108105,North America
Saint Vincent and the Grenadines,2013,2968,48.5,107469,North America
Saint Vincent and the Grenadines,2014,2945,49.5,106934,North America
Samoa,2010,2911,71.9,194686,Oceania
Samoa,2011,2883,72.2,196364,Oceania
Samoa,2012,2962,72.6,198131,Oceania
Samoa,2013,2960,73,199952,Oceania
Samoa,2014,2974,73.4,201769,Oceania
Sao Tome and Principe,2010,2368,21.4,182154,Africa
Sao Tome and Principe,2011,2331,22.1,186058,Africa
Sao Tome and Principe,2012,2338,22.7,189936,Africa
Sao Tome and Principe,2013,2400,23.4,193765,Africa
Sao Tome and Principe,2014,2381,24.1,197511,Africa
Saudi Arabia,2010,3124,62.7,29411930,Asia
Saudi Arabia,2011,3103,63.4,30150952,Asia
Saudi Arabia,2012,3269,64.1,30821554,Asia
Saudi Arabia,2013,3255,64.8,31482502,Asia
Saudi Arabia,2014,3274,65.5,32125570,Asia
Senegal,2010,2435,18,12530128,Africa
Senegal,2011,2428,18.4,12875878,Africa
Senegal,2012,2443,18.7,13231840,Africa
Senegal,2013,2456,19.1,13595571,Africa
Senegal,2014,2438,19.5,13970314,Africa
Serbia,2010,2725,57.3,7653749,Europe
Serbia,2011,2733,57.8,7620925,Europe
Serbia,2012,2717,58.3,7591357,Europe
Serbia,2013,2728,58.8,7566674,Europe
Serbia,2014,2807,59.3,7543965,Europe
Sierra Leone,2010,2275,14.9,6436699,Africa
Sierra Leone,2011,2335,15.3,6612390,Africa
Sierra Leone,2012,2374,15.8,6788594,Africa
Sierra Leone,2013,2404,16.3,6964867,Africa
Sierra Leone,2014,2301,16.9,7140700,Africa
Slovakia,2010,2950,62,5396428,Europe
Slovakia,2011,2941,62.7,5402686,Europe
Slovakia,2012,2901,63.3,5409283,Europe
Slovakia,2013,2944,63.9,5414744,Europe
Slovakia,2014,2823,64.5,5419572,Europe
Slovenia,2010,3176,62.2,2057294,Europe
Slovenia,2011,3165,62.7,2065457,Europe
Slovenia,2012,3160,63.2,2069365,Europe
Slovenia,2013,3168,63.7,2072374,Europe
Slovenia,2014,3203,64.1,2074923,Europe
Solomon Islands,2010,2482,37,540402,Oceania
Solomon Islands,2011,2491,37.5,553727,Oceania
Solomon Islands,2012,2421,37.9,567771,Oceania
Solomon Islands,2013,2391,38.4,582369,Oceania
Solomon Islands,2014,2376,38.9,597386,Oceania
South Africa,2010,2992,36.5,51784928,Africa
South Africa,2011,3002,37.5,52443320,Africa
South Africa,2012,3014,38.4,53145036,Africa
South Africa,2013,3022,39.3,53873608,Africa
South Africa,2014,2976,40.2,54729556,Africa
South Korea,2010,3281,33.5,48813036,Asia
South Korea,2011,3354,34.6,49169880,Asia
South Korea,2012,3325,35.7,49634188,Asia
South Korea,2013,3334,36.8,50098228,Asia
South Korea,2014,3333,37.9,50558044,Asia
Spain,2010,3183,65.7,46572776,Europe
Spain,2011,3192,66,46729232,Europe
Spain,2012,3173,66.4,46756084,Europe
Spain,2013,3174,66.7,46603460,Europe
Spain,2014,3163,67.1,46464548,Europe
Sri Lanka,2010,2465,14.9,20668556,Asia
Sri Lanka,2011,2491,15.4,20859746,Asia
Sri Lanka,2012,2512,16,21017150,Asia
Sri Lanka,2013,2539,16.6,21131762,Asia
Sri Lanka,2014,2618,17.3,21239448,Asia
Sudan,2012,2301,20.6,35159792,Africa
Sudan,2013,2336,21.1,35990708,Africa
Sudan,2014,2589,21.5,37003248,Africa
Suriname,2010,2795,48.6,546085,South America
Suriname,2011,2712,49.5,552154,South America
Suriname,2012,2726,50.3,558111,South America
Suriname,2013,2753,51.2,563952,South America
Suriname,2014,2764,52,569687,South America
Sweden,2010,3151,60.6,9381722,Europe
Sweden,2011,3157,61.1,9467384,Europe
Sweden,2012,3170,61.6,9555984,Europe
Sweden,2013,3179,62.1,9648935,Europe
Sweden,2014,3198,62.6,9747507,Europe
Switzerland,2010,3448,62.7,7822444,Europe
Switzerland,2011,3491,63.1,7910988,Europe
Switzerland,2012,3382,63.5,7995738,Europe
Switzerland,2013,3391,63.9,8088370,Europe
Switzerland,2014,3421,64.3,8187792,Europe
Taiwan,2010,2962,40.2,23083086,Asia
Taiwan,2011,2956,40.8,23143076,Asia
Taiwan,2012,2955,41.3,23234064,Asia
Taiwan,2013,2997,41.9,23330332,Asia
Taiwan,2014,2960,42.4,23422504,Asia
Tajikistan,2010,2105,36.4,7621785,Asia
Tajikistan,2011,2049,37.2,7784820,Asia
Tajikistan,2012,2159,37.9,7956383,Asia
Tajikistan,2013,2201,38.6,8136612,Asia
Tajikistan,2014,2091,39.4,8326354,Asia
Tanzania,2010,2097,13.5,45110532,Africa
Tanzania,2011,2200,13.9,46416032,Africa
Tanzania,2012,2192,14.3,47786136,Africa
Tanzania,2013,2208,14.8,49253648,Africa
Tanzania,2014,2339,15.2,50814552,Africa
Thailand,2010,2756,22.5,68270488,Asia
Thailand,2011,2760,23.3,68712848,Asia
Thailand,2012,2784,24.2,69157024,Asia
Thailand,2013,2784,25.1,69578600,Asia
Thailand,2014,2771,26,69960944,Asia
Togo,2010,2370,14.2,6571862,Africa
Togo,2011,2383,14.5,6748675,Africa
Togo,2012,2414,14.9,6926634,Africa
Togo,2013,2454,15.3,7106238,Africa
Togo,2014,2433,15.7,7288381,Africa
Trinidad and Tobago,2010,2841,47.3,1410297,North America
Trinidad and Tobago,2011,2906,48.2,1420021,North America
Trinidad and Tobago,2012,2989,49.2,1430379,North America
Trinidad and Tobago,2013,3052,50.2,1440731,North America
Trinidad and Tobago,2014,2987,51.2,1450663,North America
Tunisia,2010,3326,52.4,10895063,Africa
Tunisia,2011,3360,53.1,11032529,Africa
Tunisia,2012,3390,53.8,11174384,Africa
Tunisia,2013,3349,54.5,11300284,Africa
Tunisia,2014,3435,55.1,11428953,Africa
Turkey,2010,3650,60.3,73195352,Asia
Turkey,2011,3674,61,74173856,Asia
Turkey,2012,3690,61.7,75277440,Asia
Turkey,2013,3706,62.4,76576120,Asia
Turkey,2014,3659,63,78112064,Asia
Turkmenistan,2010,2866,48.2,5267975,Asia
Turkmenistan,2011,2851,49.3,5360813,Asia
Turkmenistan,2012,2842,50.4,5458688,Asia
Turkmenistan,2013,2840,51.5,5560099,Asia
Turkmenistan,2014,2904,52.6,5663159,Asia
Uganda,2010,2200,10.9,32341724,Africa
Uganda,2011,2178,11.3,33295738,Africa
Uganda,2012,2160,11.7,34273296,Africa
Uganda,2013,2130,12.1,35273568,Africa
Uganda,2014,2127,12.5,36336544,Africa
Ukraine,2010,3140,54.1,45683024,Europe
Ukraine,2011,3177,55,45516136,Europe
Ukraine,2012,3161,55.8,45406228,Europe
Ukraine,2013,3138,56.6,45307104,Europe
Ukraine,2014,3145,57.4,45148072,Europe
United Arab Emirates,2010,3161,67.1,8481775,Asia
United Arab Emirates,2011,3210,67.2,8575210,Asia
United Arab Emirates,2012,3230,67.3,8664976,Asia
United Arab Emirates,2013,3280,67.5,8751853,Asia
United Arab Emirates,2014,3398,67.7,8835957,Asia
United Kingdom,2010,3404,65.6,62760048,Europe
United Kingdom,2011,3417,66.1,63286360,Europe
United Kingdom,2012,3403,66.6,63808728,Europe
United Kingdom,2013,3424,67.2,64302296,Europe
United Kingdom,2014,3376,67.7,64773504,Europe
United States,2010,3650,71,311182848,North America
United States,2011,3649,71.4,313876608,North America
United States,2012,3687,71.9,316651328,North America
United States,2013,3682,72.3,319375168,North America
United States,2014,3717,72.8,322033952,North America
Uruguay,2010,2984,59.8,3352653,South America
Uruguay,2011,3012,60.6,3361631,South America
Uruguay,2012,3016,61.4,3371134,South America
Uruguay,2013,3050,62.1,3381187,South America
Uruguay,2014,3157,62.9,3391660,South America
Uzbekistan,2010,2648,43.5,28614234,Asia
Uzbekistan,2011,2694,44.3,29057456,Asia
Uzbekistan,2012,2730,45.1,29503058,Asia
Uzbekistan,2013,2760,46,29963220,Asia
Uzbekistan,2014,2964,46.8,30446542,Asia
Vanuatu,2010,2856,45.2,245464,Oceania
Vanuatu,2011,2841,45.7,251309,Oceania
Vanuatu,2012,2818,46.2,257329,Oceania
Vanuatu,2013,2836,46.7,263547,Oceania
Vanuatu,2014,2733,47.2,269942,Oceania
Venezuela,2010,2805,59.4,28715026,South America
Venezuela,2011,2803,60.1,29096158,South America
Venezuela,2012,2691,60.9,29470428,South America
Venezuela,2013,2631,61.6,29838022,South America
Venezuela,2014,2610,62.2,30193260,South America
Vietnam,2010,2678,12.7,87411016,Asia
Vietnam,2011,2716,13.4,88349104,Asia
Vietnam,2012,2713,14.2,89301328,Asia
Vietnam,2013,2745,15,90267736,Asia
Vietnam,2014,2853,15.8,91235504,Asia
World,2010,2847.677449,35.7,6985603072,World
World,2011,2867.025827,36.3,7073125376,World
World,2012,2872.407876,37,7161697792,World
World,2013,2882.104179,37.7,7250593280,World
World,2014,2895.239696,38.3,7339013632,World
Yemen,2010,2197,35.2,24743944,Asia
Yemen,2011,2206,35.5,25475608,Asia
Yemen,2012,2231,35.9,26223390,Asia
Yemen,2013,2223,36.3,26984008,Asia
Yemen,2014,2156,36.8,27753310,Asia
Zambia,2010,1904,16.7,13792095,Africa
Zambia,2011,1907,17.1,14265824,Africa
Zambia,2012,1923,17.6,14744662,Africa
Zambia,2013,1930,18,15234976,Africa
Zambia,2014,2013,18.5,15737796,Africa
Zimbabwe,2010,2168,18.1,12839774,Africa
Zimbabwe,2011,2200,18.4,13025789,Africa
Zimbabwe,2012,2197,18.7,13265331,Africa
Zimbabwe,2013,2110,19.1,13555420,Africa
Zimbabwe,2014,1986,19.5,13855758,Africa
