Entity,Continent,Gender,Mean BMI 2000,Mean BMI 2004,Mean BMI 2008,Mean BMI 2012,Mean BMI 2016
Somalia,Africa,Female,22.63227468,22.90716415,23.24553861,23.56701504,23.8901343
South Africa,Africa,Male,24.20532769,24.43065023,24.72632133,24.92303594,25.06915981
South Africa,Africa,Female,28.15172881,28.43608232,28.82522926,29.18449999,29.51261355
South Korea,Asia,Male,23.38756642,23.62744309,23.90175719,24.14015116,24.39793499
South Korea,Asia,Female,22.92489286,22.98810184,23.0465898,23.09515176,23.14950586
Spain,Europe,Male,26.67281345,26.90454391,27.12543992,27.1950588,27.1704132
Spain,Europe,Female,25.81388359,25.76546728,25.61303301,25.35483495,25.0175129
Sri Lanka,Asia,Male,21.10943388,21.35603316,21.71859771,22.10524529,22.52865584
Sri Lanka,Asia,Female,22.0924775,22.38094601,22.78338305,23.2298016,23.71384823
Sudan,Africa,Male,22.47587335,22.67227691,22.89174309,23.06672796,23.24492053
Sudan,Africa,Female,24.66261582,24.96362862,25.3256765,25.67390742,26.03298075
Suriname,South America,Male,24.46405845,24.67881067,24.95104322,25.20008528,25.43768437
Suriname,South America,Female,26.63918886,26.89385648,27.2112525,27.51970407,27.83736595
Sweden,Europe,Male,25.77360135,26.06032491,26.38425726,26.62928896,26.81740635
Sweden,Europe,Female,24.71290913,24.88220481,25.08019184,25.25824231,25.4199498
Switzerland,Europe,Male,25.8652932,26.06824207,26.35263706,26.59539823,26.7865903
Switzerland,Europe,Female,24.03394139,24.02116947,23.97951698,23.91510068,23.83783671
Syria,Asia,Male,26.15333826,26.41038321,26.73650652,27.09376098,27.4658099
Syria,Asia,Female,28.02500023,28.32125801,28.67013354,29.02678657,29.39012411
Taiwan,Asia,Male,23.60078956,23.83374195,24.19341769,24.58986985,25.03000934
Taiwan,Asia,Female,22.89498398,22.99250553,23.18818541,23.43359692,23.68825366
Tajikistan,Asia,Male,24.35368944,24.58790268,24.96981011,25.41684433,25.8876485
Tajikistan,Asia,Female,24.11490721,24.4831121,25.03768864,25.65918576,26.32647878
Tanzania,Africa,Male,21.79882716,21.948387,22.11126395,22.23895022,22.37008266
Tanzania,Africa,Female,22.48048972,22.79850189,23.20983441,23.62938575,24.0549663
Thailand,Asia,Male,22.33488994,22.59520728,22.99405767,23.43045424,23.8869609
Thailand,Asia,Female,23.57493254,23.81867038,24.19005978,24.60202273,25.01374045
Togo,Africa,Male,21.63427427,21.88663279,22.18843003,22.39853642,22.55156833
Togo,Africa,Female,22.42070161,22.90079354,23.49619556,24.02814229,24.52094971
Tokelau,Oceania,Male,31.07790599,31.26323789,31.5116857,31.78246769,32.07088925
Tokelau,Oceania,Female,32.09318611,32.46783563,32.90910361,33.3166195,33.71979741
Tonga,Oceania,Male,30.18022128,30.26971966,30.38135826,30.52101608,30.68186392
Tonga,Oceania,Female,32.70430872,32.99519998,33.32472401,33.62845765,33.93245732
Trinidad and Tobago,North America,Male,25.3324738,25.62304889,25.98461505,26.33541321,26.68688008
Trinidad and Tobago,North America,Female,26.84136155,27.24287877,27.74035437,28.23703753,28.75147012
Tunisia,Africa,Male,24.1537495,24.44223558,24.81366905,25.21088009,25.62332822
Tunisia,Africa,Female,26.40772402,26.60845496,26.81907785,27.02840997,27.25051704
Turkey,Asia,Male,25.94141109,26.22760722,26.55663979,26.87222429,27.19483759
Turkey,Asia,Female,27.82093649,28.06505321,28.33867066,28.61226418,28.87773829
Turkmenistan,Asia,Male,24.95526335,25.22327244,25.62778565,26.08671914,26.56331809
Turkmenistan,Asia,Female,24.77077011,25.1229634,25.61118623,26.13104713,26.66865309
Tuvalu,Oceania,Male,29.39270796,29.51407853,29.69563405,29.92396532,30.17198741
Tuvalu,Oceania,Female,30.74123666,30.99254472,31.28646841,31.56125048,31.81326607
Uganda,Africa,Male,20.49192105,20.69578219,20.96978196,21.24341876,21.53710939
Uganda,Africa,Female,21.80451123,22.09627896,22.47047477,22.85089592,23.24687818
Ukraine,Europe,Male,25.75765791,26.02461215,26.38879759,26.70741398,27.00955495
Ukraine,Europe,Female,25.87481539,26.01226393,26.17645637,26.29306695,26.38485599
United Arab Emirates,Asia,Male,26.86606879,27.10982839,27.42062693,27.75792277,28.10264628
United Arab Emirates,Asia,Female,28.62277485,28.83307977,29.07672327,29.32428508,29.57537805
United Kingdom,Europe,Male,26.55601653,26.8615675,27.17214568,27.35576851,27.452503
United Kingdom,Europe,Female,26.25058188,26.52770238,26.80137111,26.98844321,27.12053088
United States,North America,Male,27.76170662,28.12022792,28.52403974,28.79841336,28.97117223
United States,North America,Female,27.58170466,27.95167015,28.35860352,28.69826191,28.99665654
Uruguay,South America,Male,25.71057663,25.99342969,26.4208724,26.89876176,27.40277198
Uruguay,South America,Female,26.28262286,26.48662827,26.77736179,27.10949944,27.46816369
Uzbekistan,Asia,Male,24.6799702,24.94689732,25.36450006,25.84550848,26.35759742
Uzbekistan,Asia,Female,25.15975938,25.57313564,26.16406828,26.80624054,27.48593148
Vanuatu,Oceania,Male,25.20631115,25.31905718,25.43614368,25.54132086,25.67513029
Vanuatu,Oceania,Female,25.9239831,26.18141713,26.45736705,26.68770514,26.9101991
Venezuela,South America,Male,26.24207187,26.41390442,26.56960291,26.65249734,26.69960008
Venezuela,South America,Female,26.46999311,26.61653081,26.73278737,26.82019088,26.91600841
Vietnam,Asia,Male,19.90748806,20.18853522,20.64794298,21.19549844,21.8128405
Vietnam,Asia,Female,20.02330698,20.31891869,20.75706103,21.26324877,21.80618924
Yemen,Asia,Male,22.47827347,22.69632914,22.97287671,23.29457917,23.64013971
Yemen,Asia,Female,22.43059599,22.79887958,23.23571711,23.66525107,24.09178764
Zambia,Africa,Male,20.60080782,20.74379046,20.96283504,21.17643823,21.39328021
Zambia,Africa,Female,22.59283296,22.79780742,23.10884747,23.43169313,23.75530099
Zimbabwe,Africa,Male,21.76907377,21.88046904,22.03378106,22.15290505,22.26952183
Zimbabwe,Africa,Female,24.859916,24.97106489,25.11425438,25.25040894,25.39340921
