Entity,Continent,Gender,Mean BMI 2000,Mean BMI 2004,Mean BMI 2008,Mean BMI 2012,Mean BMI 2016
Canada,North America,Male,26.88792163,27.10012372,27.30392768,27.40769719,27.44537476
Canada,North America,Female,25.99758282,26.22780414,26.44888931,26.60673484,26.73270436
Cape Verde,Africa,Male,22.71535468,23.00683514,23.34964672,23.58808957,23.75957849
Cape Verde,Africa,Female,23.93783471,24.32036301,24.75263103,25.09045279,25.36464843
Central African Republic,Africa,Male,21.14436186,21.33338178,21.58143152,21.80370333,22.02261212
Central African Republic,Africa,Female,21.95000155,22.30892161,22.775648,23.22594216,23.6709651
Chad,Africa,Male,21.18090442,21.41601846,21.69378272,21.88114582,22.0155931
Chad,Africa,Female,20.80568646,21.09982591,21.43583129,21.69843523,21.92290168
Chile,South America,Male,26.42286222,26.68995462,27.06909837,27.47158437,27.8873564
Chile,South America,Female,27.14840157,27.34966535,27.62532972,27.93324433,28.26195968
China,Asia,Male,22.49666789,22.7231744,23.10676032,23.57391257,24.12940796
China,Asia,Female,22.48811066,22.65243426,22.92994084,23.23847663,23.52585449
Colombia,South America,Male,24.20469284,24.53389343,24.97403605,25.42362106,25.87730931
Colombia,South America,Female,25.71717921,25.93975615,26.18752787,26.43337235,26.69102002
Comoros,Africa,Male,22.42590878,22.6282796,22.87381762,23.08808895,23.30573763
Comoros,Africa,Female,23.244413,23.70933993,24.32890221,24.9571938,25.5996335
Congo,Africa,Male,21.50407128,21.68532156,21.92590161,22.13933717,22.34269887
Congo,Africa,Female,22.76134097,23.08778208,23.48019004,23.82442139,24.14332965
Cook Islands,Oceania,Male,31.39416709,31.64591619,32.01383261,32.38997522,32.76346746
Cook Islands,Oceania,Female,32.16212765,32.47846344,32.82857252,33.09213295,33.31123583
Costa Rica,North America,Male,25.57943677,25.87688183,26.23978681,26.55960807,26.84277233
Costa Rica,North America,Female,26.22592744,26.63896801,27.13477474,27.5908845,28.00841503
Croatia,Europe,Male,26.28583813,26.63490969,27.12254565,27.58973001,28.07157985
Croatia,Europe,Female,25.21521738,25.51496568,25.96294979,26.43414938,26.91329563
Cuba,North America,Male,24.0607451,24.30874517,24.63796669,24.96457073,25.29132131
Cuba,North America,Female,25.28372283,25.47353852,25.69934144,25.91775969,26.14472259
Cyprus,Asia,Male,26.92123404,27.18232441,27.46265927,27.62182528,27.71205826
Cyprus,Asia,Female,25.97847535,26.10641715,26.21031467,26.24245331,26.22974622
Czechia,Europe,Male,27.06703202,27.23965547,27.50917467,27.79376641,28.10546988
Czechia,Europe,Female,26.29806148,26.28198273,26.30571662,26.35371494,26.41777804
Denmark,Europe,Male,25.60728184,25.85640142,26.11191998,26.23791586,26.27218229
Denmark,Europe,Female,24.44853352,24.49491131,24.53999451,24.5598094,24.55860213
Djibouti,Africa,Male,23.01805124,23.14093024,23.27800202,23.37807247,23.47983819
Djibouti,Africa,Female,24.25000387,24.35790282,24.47961489,24.59586402,24.72292651
Dominica,North America,Male,23.77082254,24.00419486,24.32409017,24.65879543,24.99421325
Dominica,North America,Female,27.60215516,27.91327071,28.31322932,28.71497722,29.1185373
Dominican Republic,North America,Male,24.40268175,24.67329791,25.01542597,25.3336639,25.62181586
Dominican Republic,North America,Female,25.67095668,26.06594863,26.56196918,27.03082064,27.46328333
Ecuador,South America,Male,24.88242024,25.21069028,25.66961994,26.15240277,26.64511661
Ecuador,South America,Female,25.99334111,26.36979243,26.86484084,27.38793313,27.93118032
Egypt,Africa,Male,26.52802401,26.77229423,27.08577138,27.44575361,27.83207752
Egypt,Africa,Female,29.0766755,29.56906677,30.19036398,30.84169589,31.52433642
El Salvador,North America,Male,25.59192034,25.90620503,26.26930378,26.59437248,26.90353006
El Salvador,North America,Female,26.55766162,26.9880286,27.47937357,27.93822739,28.39025869
Equatorial Guinea,Africa,Male,21.44009077,21.64017633,21.89356304,22.11971907,22.33733491
Equatorial Guinea,Africa,Female,24.03789531,24.43091715,24.93192097,25.41816323,25.90067313
Eritrea,Africa,Male,20.22225991,20.30108599,20.34021254,20.3259232,20.31910317
Eritrea,Africa,Female,20.17539104,20.39422909,20.64576444,20.8787553,21.11826618
Estonia,Europe,Male,25.73950989,26.07060304,26.47478367,26.77533282,27.04053275
Estonia,Europe,Female,25.41952361,25.60020312,25.79904931,25.92272283,26.02066592
Eswatini,Africa,Male,23.24479143,23.50904005,23.87405671,24.20759046,24.53559782
Eswatini,Africa,Female,27.65081636,27.95621741,28.35387376,28.72887006,29.09877363
Ethiopia,Africa,Male,19.75269578,19.86359506,19.96659893,20.02611342,20.09282568
Ethiopia,Africa,Female,19.97680803,20.20996921,20.49206993,20.76596489,21.04993426
Fiji,Oceania,Male,25.21449168,25.49043572,25.87649619,26.27307811,26.69718793
Fiji,Oceania,Female,27.60524749,27.92765,28.29518283,28.61716451,28.92700833
Finland,Europe,Male,26.3216667,26.45341089,26.56211469,26.58520268,26.55423323
Finland,Europe,Female,25.48950019,25.58061749,25.64729317,25.67441486,25.68009252
France,Europe,Male,25.47822224,25.64706773,25.85773315,25.98607758,26.05554699
France,Europe,Female,24.50543276,24.53694258,24.53023213,24.46245762,24.34407017
French Polynesia,Oceania,Male,29.40551579,29.42533188,29.46910774,29.5461648,29.63941808
French Polynesia,Oceania,Female,29.38461704,29.4476989,29.49525795,29.52511298,29.55078469
Gabon,Africa,Male,23.04576931,23.30256353,23.61383549,23.86754325,24.09015275
Gabon,Africa,Female,24.61974264,25.06224599,25.61231104,26.11414826,26.58218418
Gambia,Africa,Male,21.36697092,21.83078329,22.44937125,22.98623425,23.44597904
Gambia,Africa,Female,22.70123681,23.18763431,23.74884144,24.19695042,24.56621707
Georgia,Asia,Male,25.81366949,26.08459498,26.51294558,27.01688569,27.55347287
Georgia,Asia,Female,26.08503105,26.37379402,26.79087744,27.2555802,27.75201309
Germany,Europe,Male,26.49500018,26.73148504,27.03195045,27.26496901,27.44128879
Germany,Europe,Female,25.31768432,25.47047645,25.6557485,25.82248798,25.97264791
Ghana,Africa,Male,22.07237249,22.28664119,22.50437459,22.58660809,22.59036443
Ghana,Africa,Female,23.27954179,23.76802573,24.34283995,24.83644933,25.2821909
Greece,Europe,Male,26.86648904,27.07849085,27.34231135,27.51841614,27.62935311
Greece,Europe,Female,26.81789635,26.90189358,26.97417026,26.98317578,26.93186374
Greenland,North America,Male,25.32973751,25.54285114,25.79555477,25.97661246,26.10590492
Greenland,North America,Female,26.18915615,26.33307745,26.49617312,26.63043546,26.74629001
Grenada,North America,Male,23.89045902,24.16278919,24.50948031,24.84681767,25.18168793
Grenada,North America,Female,26.86448405,27.28334488,27.81061333,28.33144306,28.86465836
Guatemala,North America,Male,24.45508638,24.73695862,25.09060045,25.42362009,25.74940884
Guatemala,North America,Female,25.62919797,26.03532539,26.50841709,26.94961091,27.38458813
Guinea,Africa,Male,21.55522776,21.7950917,22.08260276,22.28319533,22.43095651
Guinea,Africa,Female,22.03446317,22.37173528,22.77300084,23.11194017,23.41181123
Guinea-Bissau,Africa,Male,21.75550839,22.04414681,22.38629362,22.63204632,22.81176024
Guinea-Bissau,Africa,Female,22.50875128,22.91299576,23.37939341,23.76028233,24.08169902
Guyana,South America,Male,23.72365644,23.98966276,24.34752462,24.71289962,25.08693127
Guyana,South America,Female,25.85113214,26.24483799,26.75879461,27.28103799,27.82116667
Haiti,North America,Male,24.4695187,24.85750833,25.41474819,25.97314255,26.4981443
Haiti,North America,Female,22.39998548,22.80336106,23.32790258,23.81557423,24.24907324
Honduras,North America,Male,24.57887396,24.87213299,25.23975902,25.58879457,25.92582168
Honduras,North America,Female,25.19329487,25.73276338,26.40447671,27.05351772,27.6951341
Hong Kong,Asia,Male,23.72910177,23.85498175,24.04916759,24.28344343,24.57139386
Hong Kong,Asia,Female,23.30530601,23.37399976,23.5050845,23.67772952,23.87086688
Hungary,Europe,Male,26.59105011,26.88920876,27.33322138,27.79179466,28.27164273
Hungary,Europe,Female,25.61959989,25.77159664,26.03101983,26.31054277,26.58660554
Iceland,Europe,Male,26.16290869,26.40949302,26.71042803,26.94238898,27.11867107
Iceland,Europe,Female,25.05872794,25.21081604,25.36660194,25.479446,25.5691211
India,Asia,Male,20.68330202,20.90878197,21.17568547,21.44427447,21.73911153
India,Asia,Female,20.78255592,21.03024779,21.33692667,21.63452818,21.93055334
Indonesia,Asia,Male,21.13279246,21.38584026,21.73762073,22.10146496,22.48871007
Indonesia,Asia,Female,22.18824018,22.50244291,22.91174691,23.34412592,23.79377596
Iran,Asia,Male,24.36974789,24.60384077,24.86974929,25.11946783,25.34127062
Iran,Asia,Female,26.07647566,26.36139434,26.67222929,26.94489846,27.20079325
Iraq,Asia,Male,26.23931397,26.5066913,26.88965955,27.34053562,27.82863352
